Year,School,School_Consistant,lon,lat,IndianMale,IndianFemale,Indian_Pop,Indian_Prcnt,IndianPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2020,Dilworth Elementary School : Latta Campus,DILWORTH ELEMENTARY,-80.851271,35.211663,0,0,0,0,0.00%,5,6,11,3.226,3.20%,22,21,43,12.61,12.60%,36,38,74,21.701,21.70%,102,105,207,60.704,60.70%,0,0,0,0,0.00%,3,3,6,1.76,1.80%,341,0,0,0
2008,DRUID HILLS ELEM,DRUID HILLS ACADEMY,-80.824284,35.257268,1,0,1,0.287,0.30%,5,9,14,4.011,4.00%,14,13,27,7.736,7.70%,151,155,306,87.679,87.70%,1,0,1,0.287,0.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,349,1,1,1
2009,DRUID HILLS ELEM,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,8,4,12,3.03,3.00%,22,8,30,7.576,7.60%,182,170,352,88.889,88.90%,1,1,2,0.505,0.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,396,1,1,1
2010,DRUID HILLS ELEM,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,9,6,15,3.827,3.80%,19,7,26,6.633,6.60%,188,162,350,89.286,89.30%,0,1,1,0.255,0.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,392,1,1,1
2011,DRUID HILLS ELEMENTARY,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,9,5,14,3.675,3.70%,18,11,29,7.612,7.60%,181,140,321,84.252,84.30%,2,0,2,0.525,0.50%,0,0,0,0,0.00%,5,10,15,3.937,3.90%,381,1,1,1
2012,DRUID HILLS ACADEMY,DRUID HILLS ACADEMY,-80.824284,35.257268,0,2,2,0.344,0.30%,10,11,21,3.614,3.60%,23,16,39,6.713,6.70%,257,246,503,86.575,86.60%,2,1,3,0.516,0.50%,0,0,0,0,0.00%,7,6,13,2.238,2.20%,581,1,1,1
2013,DRUID HILLS ACADEMY,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,11,12,23,3.566,3.60%,29,9,38,5.891,5.90%,303,269,572,88.682,88.70%,2,1,3,0.465,0.50%,0,0,0,0,0.00%,5,4,9,1.395,1.40%,645,1,1,1
2014,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,13,8,21,3.443,3.40%,20,13,33,5.41,5.40%,299,247,546,89.508,89.50%,0,4,4,0.656,0.70%,0,0,0,0,0.00%,3,3,6,0.984,1.00%,610,1,1,1
2015,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,2,0,2,0.324,0.30%,12,6,18,2.913,2.90%,25,22,47,7.605,7.60%,288,255,543,87.864,87.90%,1,2,3,0.485,0.50%,0,0,0,0,0.00%,2,3,5,0.809,0.80%,618,1,1,1
2016,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,10,8,18,3.175,3.20%,17,16,33,5.82,5.80%,264,238,502,88.536,88.50%,3,1,4,0.705,0.70%,0,0,0,0,0.00%,4,6,10,1.764,1.80%,567,1,1,1
2017,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,1,2,3,0.531,0.50%,11,8,19,3.363,3.40%,21,20,41,7.257,7.30%,259,237,496,87.788,87.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,3,3,6,1.062,1.10%,565,1,1,1
2018,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,1,0,1,0.205,0.20%,7,6,13,2.664,2.70%,15,21,36,7.377,7.40%,219,213,432,88.525,88.50%,1,1,2,0.41,0.40%,0,0,0,0,0.00%,3,1,4,0.82,0.80%,488,1,1,1
2019,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,8,6,14,3.483,3.50%,19,22,41,10.199,10.20%,165,177,342,85.075,85.10%,3,0,3,0.746,0.70%,0,0,0,0,0.00%,1,1,2,0.498,0.50%,402,1,1,1
2020,Druid Hills Academy,DRUID HILLS ACADEMY,-80.824284,35.257268,0,0,0,0,0.00%,7,7,14,3.5,3.50%,27,24,51,12.75,12.80%,161,167,328,82,82.00%,1,0,1,0.25,0.30%,0,0,0,0,0.00%,2,4,6,1.5,1.50%,400,1,1,1
2008,E E WADDELL HIGH,E E WADDELL HIGH,-80.897681,35.155023,5,1,6,0.538,0.50%,9,11,20,1.792,1.80%,175,182,357,31.989,32.00%,277,359,636,56.989,57.00%,46,51,97,8.692,8.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,1116,0,1,1
2009,E E WADDELL HIGH,E E WADDELL HIGH,-80.897681,35.155023,6,0,6,0.555,0.60%,9,5,14,1.295,1.30%,189,168,357,33.025,33.00%,276,328,604,55.874,55.90%,49,51,100,9.251,9.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,1081,0,1,1
2010,E E WADDELL HIGH,E E WADDELL HIGH,-80.897681,35.155023,3,0,3,0.31,0.30%,10,6,16,1.651,1.70%,188,166,354,36.533,36.50%,265,254,519,53.56,53.60%,46,31,77,7.946,7.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,969,0,1,1
2011,E E WADDELL HIGH,E E WADDELL HIGH,-80.897681,35.155023,1,1,2,0.186,0.20%,11,5,16,1.487,1.50%,209,192,401,37.268,37.30%,286,262,548,50.929,50.90%,54,29,83,7.714,7.70%,0,0,0,0,0.00%,10,16,26,2.416,2.40%,"1,076",0,1,1
2008,EAST MECKLENBURG HI,EAST MECKLENBURG HIGH,-80.757997,35.175268,2,2,4,0.192,0.20%,56,50,106,5.096,5.10%,155,157,312,15,15.00%,513,535,1048,50.385,50.40%,297,313,610,29.327,29.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,2080,0,0,0
2009,EAST MECKLENBURG HI,EAST MECKLENBURG HIGH,-80.757997,35.175268,4,2,6,0.282,0.30%,60,54,114,5.365,5.40%,164,166,330,15.529,15.50%,530,576,1106,52.047,52.00%,275,294,569,26.776,26.80%,0,0,0,0,0.00%,0,0,0,0,0.00%,2125,0,0,0
2010,EAST MECKLENBURG HI,EAST MECKLENBURG HIGH,-80.757997,35.175268,4,3,7,0.328,0.30%,69,56,125,5.863,5.90%,167,175,342,16.041,16.00%,557,557,1114,52.251,52.30%,276,268,544,25.516,25.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,2132,0,0,0
2011,EAST MECKLENBURG HIGH,EAST MECKLENBURG HIGH,-80.757997,35.175268,5,6,11,0.625,0.60%,59,60,119,6.758,6.80%,140,145,285,16.184,16.20%,402,441,843,47.871,47.90%,223,209,432,24.532,24.50%,0,0,0,0,0.00%,37,34,71,4.032,4.00%,"1,761",0,0,0
2012,EAST MECKLENBURG HIGH,EAST MECKLENBURG HIGH,-80.757997,35.175268,3,9,12,0.712,0.70%,45,61,106,6.287,6.30%,149,138,287,17.023,17.00%,403,411,814,48.28,48.30%,206,197,403,23.903,23.90%,0,0,0,0,0.00%,39,25,64,3.796,3.80%,"1,686",0,0,0
2013,EAST MECKLENBURG HIGH,EAST MECKLENBURG HIGH,-80.757997,35.175268,5,6,11,0.613,0.60%,71,77,148,8.254,8.30%,155,179,334,18.628,18.60%,392,432,824,45.956,46.00%,211,201,412,22.978,23.00%,0,0,0,0,0.00%,41,23,64,3.569,3.60%,"1,793",0,0,0
2014,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,3,7,10,0.542,0.50%,71,80,151,8.18,8.20%,144,198,342,18.527,18.50%,403,457,860,46.587,46.60%,211,202,413,22.373,22.40%,1,1,2,0.108,0.10%,43,25,68,3.684,3.70%,"1,846",0,0,0
2015,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,2,6,8,0.435,0.40%,67,83,150,8.152,8.20%,171,206,377,20.489,20.50%,408,431,839,45.598,45.60%,188,209,397,21.576,21.60%,0,1,1,0.054,0.10%,33,35,68,3.696,3.70%,"1,840",0,0,0
2016,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,1,6,7,0.376,0.40%,77,86,163,8.759,8.80%,195,212,407,21.87,21.90%,401,424,825,44.331,44.30%,181,203,384,20.634,20.60%,0,1,1,0.054,0.10%,34,40,74,3.976,4.00%,"1,861",0,0,0
2017,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,0,8,8,0.42,0.40%,77,76,153,8.023,8.00%,229,227,456,23.912,23.90%,409,413,822,43.104,43.10%,202,192,394,20.661,20.70%,0,0,0,0,0.00%,35,39,74,3.88,3.90%,"1,907",0,0,0
2018,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,3,6,9,0.434,0.40%,93,83,176,8.486,8.50%,273,258,531,25.603,25.60%,446,439,885,42.671,42.70%,219,186,405,19.527,19.50%,2,0,2,0.096,0.10%,31,35,66,3.182,3.20%,"2,074",0,0,0
2019,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,3,2,5,0.242,0.20%,83,80,163,7.882,7.90%,287,290,577,27.901,27.90%,420,442,862,41.683,41.70%,223,175,398,19.246,19.20%,0,0,0,0,0.00%,29,34,63,3.046,3.00%,"2,068",0,0,0
2020,East Mecklenburg High,EAST MECKLENBURG HIGH,-80.757997,35.175268,3,1,4,0.196,0.20%,75,77,152,7.462,7.50%,308,305,613,30.093,30.10%,403,405,808,39.666,39.70%,233,169,402,19.735,19.70%,0,0,0,0,0.00%,32,26,58,2.847,2.80%,2037,0,0,0
2008,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,3,8,11,2.068,2.10%,7,10,17,3.195,3.20%,58,61,119,22.368,22.40%,197,188,385,72.368,72.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,532,0,0,0
2009,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,0,1,1,0.178,0.20%,3,7,10,1.783,1.80%,6,10,16,2.852,2.90%,47,49,96,17.112,17.10%,213,225,438,78.075,78.10%,0,0,0,0,0.00%,0,0,0,0,0.00%,561,1,0,1
2010,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,4,5,9,1.531,1.50%,4,10,14,2.381,2.40%,38,43,81,13.776,13.80%,247,237,484,82.313,82.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,588,1,0,1
2011,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,0,3,3,0.719,0.70%,3,3,6,1.439,1.40%,36,45,81,19.424,19.40%,157,154,311,74.58,74.60%,0,0,0,0,0.00%,7,9,16,3.837,3.80%,417,0,0,0
2012,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,1,0,1,0.234,0.20%,4,5,9,2.108,2.10%,3,4,7,1.639,1.60%,43,44,87,20.375,20.40%,161,154,315,73.77,73.80%,0,0,0,0,0.00%,4,4,8,1.874,1.90%,427,0,0,0
2013,EASTOVER ELEMENTARY,EASTOVER ELEMENTARY,-80.820834,35.196406,1,0,1,0.224,0.20%,3,5,8,1.79,1.80%,3,5,8,1.79,1.80%,58,46,104,23.266,23.30%,156,159,315,70.47,70.50%,0,0,0,0,0.00%,5,6,11,2.461,2.50%,447,0,0,0
2014,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,1,0,1,0.216,0.20%,3,2,5,1.078,1.10%,5,5,10,2.155,2.20%,64,56,120,25.862,25.90%,158,156,314,67.672,67.70%,1,1,2,0.431,0.40%,5,7,12,2.586,2.60%,464,0,0,0
2015,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,3,6,9,1.935,1.90%,5,5,10,2.151,2.20%,64,55,119,25.591,25.60%,163,151,314,67.527,67.50%,1,1,2,0.43,0.40%,5,6,11,2.366,2.40%,465,0,0,0
2016,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,4,4,8,1.928,1.90%,3,4,7,1.687,1.70%,59,44,103,24.819,24.80%,152,129,281,67.711,67.70%,1,1,2,0.482,0.50%,7,7,14,3.373,3.40%,415,0,0,0
2017,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,1,0,1,0.228,0.20%,4,3,7,1.598,1.60%,7,6,13,2.968,3.00%,55,47,102,23.288,23.30%,171,126,297,67.808,67.80%,1,0,1,0.228,0.20%,10,7,17,3.881,3.90%,438,0,0,0
2018,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,2,4,6,1.33,1.30%,8,11,19,4.213,4.20%,56,55,111,24.612,24.60%,161,134,295,65.41,65.40%,1,0,1,0.222,0.20%,11,8,19,4.213,4.20%,451,0,0,0
2019,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,1,3,4,0.901,0.90%,12,6,18,4.054,4.10%,64,53,117,26.351,26.40%,162,124,286,64.414,64.40%,0,0,0,0,0.00%,11,8,19,4.279,4.30%,444,0,0,0
2020,Eastover Elementary,EASTOVER ELEMENTARY,-80.820834,35.196406,0,0,0,0,0.00%,2,2,4,0.86,0.90%,9,7,16,3.441,3.40%,62,57,119,25.591,25.60%,157,149,306,65.806,65.80%,0,0,0,0,0.00%,12,8,20,4.301,4.30%,465,0,0,0
2008,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,1,1,2,0.213,0.20%,36,43,79,8.431,8.40%,186,149,335,35.752,35.80%,238,212,450,48.026,48.00%,32,39,71,7.577,7.60%,0,0,0,0,0.00%,0,0,0,0,0.00%,937,0,1,1
2009,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,2,4,6,0.698,0.70%,34,48,82,9.546,9.50%,148,145,293,34.109,34.10%,223,206,429,49.942,49.90%,23,26,49,5.704,5.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,859,0,1,1
2010,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,3,3,6,0.772,0.80%,33,51,84,10.811,10.80%,136,136,272,35.006,35.00%,201,179,380,48.906,48.90%,14,21,35,4.505,4.50%,0,0,0,0,0.00%,0,0,0,0,0.00%,777,0,1,1
2011,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,1,1,2,0.259,0.30%,35,53,88,11.399,11.40%,156,138,294,38.083,38.10%,187,141,328,42.487,42.50%,21,15,36,4.663,4.70%,0,0,0,0,0.00%,10,14,24,3.109,3.10%,772,0,1,1
2012,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,1,2,3,0.391,0.40%,50,40,90,11.734,11.70%,168,130,298,38.853,38.90%,176,159,335,43.677,43.70%,15,11,26,3.39,3.40%,0,0,0,0,0.00%,7,8,15,1.956,2.00%,767,0,1,1
2013,EASTWAY MIDDLE,EASTWAY MIDDLE,-80.777916,35.209706,3,2,5,0.651,0.70%,52,34,86,11.198,11.20%,167,151,318,41.406,41.40%,162,147,309,40.234,40.20%,17,14,31,4.036,4.00%,0,0,0,0,0.00%,11,8,19,2.474,2.50%,768,0,1,1
2014,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,3,3,6,0.676,0.70%,47,46,93,10.485,10.50%,185,181,366,41.263,41.30%,178,179,357,40.248,40.20%,25,23,48,5.411,5.40%,0,0,0,0,0.00%,13,4,17,1.917,1.90%,887,0,1,1
2015,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,1,1,2,0.215,0.20%,51,54,105,11.266,11.30%,223,200,423,45.386,45.40%,165,177,342,36.695,36.70%,26,17,43,4.614,4.60%,0,0,0,0,0.00%,10,7,17,1.824,1.80%,932,0,1,1
2016,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,0,1,1,0.11,0.10%,51,45,96,10.608,10.60%,216,214,430,47.514,47.50%,168,166,334,36.906,36.90%,18,16,34,3.757,3.80%,0,0,0,0,0.00%,6,4,10,1.105,1.10%,905,0,1,1
2017,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,1,0,1,0.113,0.10%,47,46,93,10.52,10.50%,250,199,449,50.792,50.80%,169,129,298,33.71,33.70%,15,14,29,3.281,3.30%,0,0,0,0,0.00%,6,8,14,1.584,1.60%,884,0,1,1
2018,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,1,0,1,0.124,0.10%,36,30,66,8.199,8.20%,243,191,434,53.913,53.90%,149,116,265,32.919,32.90%,18,13,31,3.851,3.90%,0,2,2,0.248,0.20%,2,4,6,0.745,0.70%,805,0,1,1
2019,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,1,0,1,0.114,0.10%,28,28,56,6.407,6.40%,268,213,481,55.034,55.00%,153,143,296,33.867,33.90%,17,14,31,3.547,3.50%,0,1,1,0.114,0.10%,4,4,8,0.915,0.90%,874,0,1,1
2020,Eastway Middle,EASTWAY MIDDLE,-80.777916,35.209706,0,1,1,0.108,0.10%,22,15,37,3.991,4.00%,305,279,584,62.999,63.00%,137,116,253,27.292,27.30%,26,13,39,4.207,4.20%,0,1,1,0.108,0.10%,6,6,12,1.294,1.30%,927,0,1,1
2017,eLearning Academy,ELEARNING ACADEMY,-80.882982,35.163221,1,0,1,0.671,0.70%,0,0,0,0,0.00%,8,7,15,10.067,10.10%,22,32,54,36.242,36.20%,34,42,76,51.007,51.00%,0,0,0,0,0.00%,0,3,3,2.013,2.00%,149,0,0,0
2018,eLearning Academy,ELEARNING ACADEMY,-80.882982,35.163221,2,0,2,0.885,0.90%,1,4,5,2.212,2.20%,14,14,28,12.389,12.40%,27,48,75,33.186,33.20%,47,59,106,46.903,46.90%,0,0,0,0,0.00%,5,5,10,4.425,4.40%,226,0,0,0
2008,ELIZABETH LANE ELEM,ELIZABETH LANE ELEM,-80.747414,35.11308,1,1,2,0.2,0.20%,40,42,82,8.192,8.20%,11,21,32,3.197,3.20%,51,46,97,9.69,9.70%,369,419,788,78.721,78.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,1001,1,1,1
2009,ELIZABETH LANE ELEM,ELIZABETH LANE ELEM,-80.747414,35.11308,0,1,1,0.1,0.10%,43,48,91,9.073,9.10%,14,26,40,3.988,4.00%,47,48,95,9.472,9.50%,372,404,776,77.368,77.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,1003,1,1,1
2010,ELIZABETH LANE ELEM,ELIZABETH LANE ELEM,-80.747414,35.11308,0,0,0,0,0.00%,49,60,109,10.531,10.50%,20,25,45,4.348,4.30%,50,44,94,9.082,9.10%,374,413,787,76.039,76.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,1035,1,1,1
2011,ELIZABETH LANE ELEMENTARY,ELIZABETH LANE ELEM,-80.747414,35.11308,0,0,0,0,0.00%,50,65,115,11.252,11.30%,16,28,44,4.305,4.30%,33,23,56,5.479,5.50%,368,400,768,75.147,75.10%,0,0,0,0,0.00%,18,21,39,3.816,3.80%,"1,022",1,1,1
2012,ELIZABETH LANE ELEMENTARY,ELIZABETH LANE ELEM,-80.747414,35.11308,1,0,1,0.1,0.10%,54,55,109,10.889,10.90%,22,32,54,5.395,5.40%,41,31,72,7.193,7.20%,379,368,747,74.625,74.60%,0,0,0,0,0.00%,8,10,18,1.798,1.80%,"1,001",0,1,1
2013,ELIZABETH LANE ELEMENTARY,ELIZABETH LANE ELEM,-80.747414,35.11308,3,0,3,0.312,0.30%,50,45,95,9.875,9.90%,21,28,49,5.094,5.10%,38,30,68,7.069,7.10%,375,352,727,75.572,75.60%,0,0,0,0,0.00%,9,11,20,2.079,2.10%,962,1,1,1
2014,Elizabeth Lane Elementary,ELIZABETH LANE ELEM,-80.747414,35.11308,2,0,2,0.202,0.20%,48,54,102,10.282,10.30%,27,32,59,5.948,5.90%,33,25,58,5.847,5.80%,381,367,748,75.403,75.40%,0,0,0,0,0.00%,12,11,23,2.319,2.30%,992,1,1,1
2015,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,2,1,3,0.324,0.30%,56,56,112,12.108,12.10%,30,20,50,5.405,5.40%,25,19,44,4.757,4.80%,355,343,698,75.459,75.50%,0,0,0,0,0.00%,10,8,18,1.946,1.90%,925,1,1,1
2016,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,1,1,2,0.2,0.20%,61,62,123,12.3,12.30%,39,27,66,6.6,6.60%,25,26,51,5.1,5.10%,369,361,730,73,73.00%,0,0,0,0,0.00%,16,12,28,2.8,2.80%,"1,000",0,1,1
2017,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,1,1,2,0.187,0.20%,87,75,162,15.183,15.20%,46,32,78,7.31,7.30%,28,24,52,4.873,4.90%,401,349,750,70.291,70.30%,1,0,1,0.094,0.10%,11,11,22,2.062,2.10%,"1,067",0,1,1
2018,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,2,1,3,0.276,0.30%,99,90,189,17.371,17.40%,43,34,77,7.077,7.10%,31,25,56,5.147,5.10%,381,356,737,67.739,67.70%,0,0,0,0,0.00%,15,11,26,2.39,2.40%,"1,088",0,1,1
2019,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,2,0,2,0.186,0.20%,103,86,189,17.565,17.60%,49,48,97,9.015,9.00%,32,21,53,4.926,4.90%,356,349,705,65.52,65.50%,0,0,0,0,0.00%,15,15,30,2.788,2.80%,"1,076",0,1,1
2020,Elizabeth Lane Elem,ELIZABETH LANE ELEM,-80.747414,35.11308,3,0,3,0.286,0.30%,89,80,169,16.111,16.10%,46,43,89,8.484,8.50%,28,23,51,4.862,4.90%,352,353,705,67.207,67.20%,0,0,0,0,0.00%,18,14,32,3.051,3.10%,1049,0,1,1
2008,ELIZABETH TRAD/CLASS,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,3,0,3,0.55,0.60%,6,9,15,2.752,2.80%,10,4,14,2.569,2.60%,154,154,308,56.514,56.50%,112,93,205,37.615,37.60%,0,0,0,0,0.00%,0,0,0,0,0.00%,545,0,0,0
2009,ELIZABETH TRAD/CLASS,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,4,1,5,0.891,0.90%,6,5,11,1.961,2.00%,12,6,18,3.209,3.20%,160,165,325,57.932,57.90%,113,89,202,36.007,36.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,561,0,0,0
2010,ELIZABETH TRAD/CLASS,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,1,1,2,0.36,0.40%,5,5,10,1.802,1.80%,8,8,16,2.883,2.90%,161,165,326,58.739,58.70%,111,90,201,36.216,36.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,555,0,0,0
2011,ELIZABETH TRADITIONAL ELEMENTA,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,1,1,2,0.37,0.40%,7,4,11,2.037,2.00%,8,7,15,2.778,2.80%,144,164,308,57.037,57.00%,105,81,186,34.444,34.40%,0,0,0,0,0.00%,11,7,18,3.333,3.30%,540,0,0,0
2012,ELIZABETH TRADITIONAL ELEMENTA,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,0,1,1,0.182,0.20%,6,5,11,2.004,2.00%,8,12,20,3.643,3.60%,149,177,326,59.381,59.40%,103,72,175,31.876,31.90%,0,0,0,0,0.00%,11,5,16,2.914,2.90%,549,0,0,0
2013,ELIZABETH TRADITIONAL ELEMENTA,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,0,3,3,0.555,0.60%,5,8,13,2.403,2.40%,12,17,29,5.36,5.40%,149,177,326,60.259,60.30%,90,68,158,29.205,29.20%,0,0,0,0,0.00%,6,6,12,2.218,2.20%,541,0,0,0
2014,Elizabeth Traditional Elementary,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,1,4,5,0.933,0.90%,5,11,16,2.985,3.00%,17,19,36,6.716,6.70%,144,179,323,60.261,60.30%,78,65,143,26.679,26.70%,0,0,0,0,0.00%,6,7,13,2.425,2.40%,536,0,0,0
2015,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,2,3,5,0.936,0.90%,4,6,10,1.873,1.90%,22,19,41,7.678,7.70%,168,166,334,62.547,62.50%,72,61,133,24.906,24.90%,0,0,0,0,0.00%,4,7,11,2.06,2.10%,534,0,0,0
2016,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,3,4,7,1.292,1.30%,4,5,9,1.661,1.70%,25,24,49,9.041,9.00%,178,172,350,64.576,64.60%,58,60,118,21.771,21.80%,0,0,0,0,0.00%,3,6,9,1.661,1.70%,542,0,0,0
2017,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,3,2,5,0.933,0.90%,6,9,15,2.799,2.80%,36,31,67,12.5,12.50%,166,172,338,63.06,63.10%,57,44,101,18.843,18.80%,0,0,0,0,0.00%,3,7,10,1.866,1.90%,536,0,0,0
2018,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,2,3,5,0.96,1.00%,5,11,16,3.071,3.10%,37,33,70,13.436,13.40%,155,171,326,62.572,62.60%,47,46,93,17.85,17.90%,0,0,0,0,0.00%,5,6,11,2.111,2.10%,521,0,0,0
2019,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,2,1,3,0.592,0.60%,6,10,16,3.156,3.20%,40,30,70,13.807,13.80%,146,173,319,62.919,62.90%,45,40,85,16.765,16.80%,0,1,1,0.197,0.20%,4,9,13,2.564,2.60%,507,0,0,0
2020,Elizabeth Traditional Elem,ELIZABETH TRADITIONAL ELEM,-80.824871,35.215532,1,1,2,0.399,0.40%,6,9,15,2.994,3.00%,44,42,86,17.166,17.20%,142,180,322,64.271,64.30%,34,29,63,12.575,12.60%,0,0,0,0,0.00%,5,8,13,2.595,2.60%,501,0,0,0
2008,ELON PARK ELEM,ELON PARK ELEMENTARY,-80.84363,35.022861,0,0,0,0,0.00%,47,55,102,14.956,15.00%,28,19,47,6.891,6.90%,43,40,83,12.17,12.20%,219,231,450,65.982,66.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,682,0,0,0
2009,ELON PARK ELEM,ELON PARK ELEMENTARY,-80.84363,35.022861,1,0,1,0.125,0.10%,61,65,126,15.73,15.70%,32,20,52,6.492,6.50%,57,55,112,13.983,14.00%,254,256,510,63.67,63.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,801,0,0,0
2010,ELON PARK ELEM,ELON PARK ELEMENTARY,-80.84363,35.022861,0,1,1,0.112,0.10%,61,68,129,14.478,14.50%,31,18,49,5.499,5.50%,71,69,140,15.713,15.70%,279,293,572,64.198,64.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,891,0,0,0
2011,ELON PARK ELEMENTARY,ELON PARK ELEMENTARY,-80.84363,35.022861,1,1,2,0.214,0.20%,83,75,158,16.88,16.90%,34,28,62,6.624,6.60%,45,41,86,9.188,9.20%,285,293,578,61.752,61.80%,0,0,0,0,0.00%,26,24,50,5.342,5.30%,936,0,1,1
